Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Anthony Edwards,22,79,78,2770,718,1558,.461,190,532,.357,528,1026,.515,.522,423,506,.836,52,378,430,405,101,42,241,141,2049
2,Rudy Gobert,31,76,76,2593,406,614,.661,0,3,.000,406,611,.664,.661,249,390,.638,285,697,982,102,52,162,118,238,1061
3,Mike Conley,36,76,76,2193,294,644,.457,179,405,.442,115,239,.481,.595,102,112,.911,37,181,218,449,88,17,102,128,869
4,Jaden McDaniels,23,72,71,2105,307,628,.489,86,255,.337,221,373,.592,.557,57,79,.722,56,168,224,101,63,42,87,219,757
5,Karl-Anthony Towns,28,62,62,2026,479,951,.504,136,327,.416,343,624,.550,.575,255,292,.873,94,421,515,189,43,41,177,204,1349
6,Naz Reid,24,81,14,1964,406,851,.477,169,408,.414,237,443,.535,.576,109,148,.736,73,350,423,106,63,73,111,172,1090
7,Nickeil Alexander-Walker,25,82,20,1921,236,538,.439,131,335,.391,105,203,.517,.560,52,65,.800,35,132,167,204,64,42,76,143,655
8,Kyle Anderson,30,79,10,1782,199,433,.460,11,48,.229,188,385,.488,.472,97,137,.708,60,213,273,331,71,47,91,128,506
9,Jordan McLaughlin,27,56,0,626,70,145,.483,42,89,.472,28,56,.500,.628,13,18,.722,18,54,72,110,35,7,19,31,195
10,Shake Milton,27,38,0,491,64,160,.400,14,53,.264,50,107,.467,.444,36,44,.818,7,44,51,50,16,5,28,44,178
11,Troy Brown Jr.,24,37,3,410,52,118,.441,31,84,.369,21,34,.618,.572,19,22,.864,14,58,72,35,8,2,18,26,154
12,Monte Morris,28,27,0,408,50,120,.417,25,59,.424,25,61,.410,.521,12,17,.706,5,40,45,61,18,8,5,13,137
13,T.J. Warren,30,11,0,125,18,41,.439,2,13,.154,16,28,.571,.463,3,4,.750,5,17,22,9,4,1,4,11,41
14,Luka Garza,25,25,0,122,36,75,.480,9,32,.281,27,43,.628,.540,18,25,.720,19,12,31,4,4,1,6,24,99
15,Josh Minott,21,32,0,91,17,36,.472,4,10,.400,13,26,.500,.528,12,14,.857,4,13,17,8,5,5,2,10,50
16,Wendell Moore Jr.,22,25,0,75,9,18,.500,0,6,.000,9,12,.750,.500,0,0,,0,12,12,6,5,1,4,5,18
17,Leonard Miller,20,17,0,52,13,20,.650,2,5,.400,11,15,.733,.700,1,2,.500,5,15,20,8,2,1,1,5,29
18,Daishen Nix,21,15,0,50,9,24,.375,6,17,.353,3,7,.429,.500,3,6,.500,1,2,3,6,5,0,5,2,27
19,Justin Jackson,28,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
,,,82,,19805,3383,6974,.485,1037,2681,.387,2346,4293,.546,.559,1461,1881,.777,770,2807,3577,2184,647,497,1162,1544,9264